image,preprocess,text_threshold,mag_ratio,contrast_ths,decoder,predicted_text,avg_confidence,cer,elapsed_sec
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.5,1.0,0.1,beamsearch,U든 [,0.0924,N/A,2.459
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.5,1.0,0.3,greedy,U든 [,0.0924,N/A,2.489
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.5,1.0,0.3,beamsearch,U든 [,0.0924,N/A,2.385
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.5,1.8,0.1,greedy, [논,0.0075,N/A,6.676
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.5,1.8,0.1,beamsearch, [논,0.0075,N/A,6.451
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.5,1.8,0.3,greedy, [논,0.0075,N/A,6.993
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.5,1.8,0.3,beamsearch, [논,0.0075,N/A,7.123
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.7,1.0,0.1,greedy,U든,0.0608,N/A,2.332
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.7,1.0,0.1,beamsearch,U든,0.0608,N/A,2.177
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.7,1.0,0.3,greedy,U든,0.0608,N/A,2.278
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.7,1.0,0.3,beamsearch,U든,0.0608,N/A,2.409
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.7,1.8,0.1,greedy,[논,0.0149,N/A,6.631
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.7,1.8,0.1,beamsearch,[논,0.0149,N/A,6.968
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.7,1.8,0.3,greedy,[논,0.0149,N/A,7.068
easyOCR_testimg\img_002_42px.png,adaptive_thresh,0.7,1.8,0.3,beamsearch,[논,0.0149,N/A,7.051
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.5,1.0,0.1,greedy,안녕,0.9988,N/A,2.258
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.5,1.0,0.1,beamsearch,안녕,0.9988,N/A,2.15
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.5,1.0,0.3,greedy,안녕,0.9988,N/A,2.2
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.5,1.0,0.3,beamsearch,안녕,0.9988,N/A,2.384
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.5,1.8,0.1,greedy,아니 -   6,0.3269,N/A,6.674
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.5,1.8,0.1,beamsearch,아니 -   6,0.3269,N/A,7.546
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.5,1.8,0.3,greedy,아니 -   6,0.3269,N/A,6.778
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.5,1.8,0.3,beamsearch,아니 -   6,0.3269,N/A,6.95
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.7,1.0,0.1,greedy,안녕,0.9988,N/A,2.434
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.7,1.0,0.1,beamsearch,안녕,0.9988,N/A,2.332
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.7,1.0,0.3,greedy,안녕,0.9988,N/A,2.308
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.7,1.0,0.3,beamsearch,안녕,0.9988,N/A,2.355
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.7,1.8,0.1,greedy,아니 6,0.3798,N/A,7.158
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.7,1.8,0.1,beamsearch,아니 6,0.3798,N/A,6.461
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.7,1.8,0.3,greedy,아니 6,0.3798,N/A,7.091
easyOCR_testimg\img_002_42px.png,denoise_otsu,0.7,1.8,0.3,beamsearch,아니 6,0.3798,N/A,6.614
easyOCR_testimg\img_002_42px.png,upscale_2x,0.5,1.0,0.1,greedy,아 ~ ,0.5999,N/A,9.464
easyOCR_testimg\img_002_42px.png,upscale_2x,0.5,1.0,0.1,beamsearch,아 ~ ,0.5999,N/A,8.841
easyOCR_testimg\img_002_42px.png,upscale_2x,0.5,1.0,0.3,greedy,아 ~ ,0.5999,N/A,8.86
easyOCR_testimg\img_002_42px.png,upscale_2x,0.5,1.0,0.3,beamsearch,아 ~ ,0.5999,N/A,9.257
easyOCR_testimg\img_002_42px.png,upscale_2x,0.5,1.8,0.1,greedy,? ~ 9,0.5051,N/A,11.62
easyOCR_testimg\img_002_42px.png,upscale_2x,0.5,1.8,0.1,beamsearch,? ~ 9,0.5051,N/A,10.173
easyOCR_testimg\img_002_42px.png,upscale_2x,0.5,1.8,0.3,greedy,? ~ 9,0.5051,N/A,10.585
easyOCR_testimg\img_002_42px.png,upscale_2x,0.5,1.8,0.3,beamsearch,? ~ 9,0.5051,N/A,10.839
easyOCR_testimg\img_002_42px.png,upscale_2x,0.7,1.0,0.1,greedy,아,0.9998,N/A,8.18
easyOCR_testimg\img_002_42px.png,upscale_2x,0.7,1.0,0.1,beamsearch,아,0.9998,N/A,8.424
easyOCR_testimg\img_002_42px.png,upscale_2x,0.7,1.0,0.3,greedy,아,0.9998,N/A,8.152
easyOCR_testimg\img_002_42px.png,upscale_2x,0.7,1.0,0.3,beamsearch,아,0.9998,N/A,7.618
easyOCR_testimg\img_002_42px.png,upscale_2x,0.7,1.8,0.1,greedy,? 9,0.4399,N/A,11.353
easyOCR_testimg\img_002_42px.png,upscale_2x,0.7,1.8,0.1,beamsearch,? 9,0.4399,N/A,11.54
easyOCR_testimg\img_002_42px.png,upscale_2x,0.7,1.8,0.3,greedy,? 9,0.4399,N/A,11.218
easyOCR_testimg\img_002_42px.png,upscale_2x,0.7,1.8,0.3,beamsearch,? 9,0.4399,N/A,9.89
easyOCR_testimg\img_003_16px.png,gray,0.5,1.0,0.1,greedy,[[어파이프,0.3747,N/A,2.485
easyOCR_testimg\img_003_16px.png,gray,0.5,1.0,0.1,beamsearch,[[어파이프,0.3747,N/A,2.35
easyOCR_testimg\img_003_16px.png,gray,0.5,1.0,0.3,greedy,[[어파이프,0.3747,N/A,2.38
easyOCR_testimg\img_003_16px.png,gray,0.5,1.0,0.3,beamsearch,[[어파이프,0.3747,N/A,2.265
easyOCR_testimg\img_003_16px.png,gray,0.5,1.8,0.1,greedy, II [I어파이프 _ UI,0.3583,N/A,6.501
easyOCR_testimg\img_003_16px.png,gray,0.5,1.8,0.1,beamsearch, II [I어파이프 _ UI,0.3583,N/A,7.072
easyOCR_testimg\img_003_16px.png,gray,0.5,1.8,0.3,greedy, II [I어파이프 _ UI,0.3583,N/A,7.275
easyOCR_testimg\img_003_16px.png,gray,0.5,1.8,0.3,beamsearch, II [I어파이프 _ UI,0.3583,N/A,7.369
easyOCR_testimg\img_003_16px.png,gray,0.7,1.0,0.1,greedy,[[어파이프,0.3747,N/A,2.217
easyOCR_testimg\img_003_16px.png,gray,0.7,1.0,0.1,beamsearch,[[어파이프,0.3747,N/A,2.171
easyOCR_testimg\img_003_16px.png,gray,0.7,1.0,0.3,greedy,[[어파이프,0.3747,N/A,2.108
easyOCR_testimg\img_003_16px.png,gray,0.7,1.0,0.3,beamsearch,[[어파이프,0.3747,N/A,2.353
easyOCR_testimg\img_003_16px.png,gray,0.7,1.8,0.1,greedy,II [I어파이프 UI,0.5719,N/A,6.725
easyOCR_testimg\img_003_16px.png,gray,0.7,1.8,0.1,beamsearch,II [I어파이프 UI,0.5719,N/A,7.168
easyOCR_testimg\img_003_16px.png,gray,0.7,1.8,0.3,greedy,II [I어파이프 UI,0.5719,N/A,6.792
easyOCR_testimg\img_003_16px.png,gray,0.7,1.8,0.3,beamsearch,II [I어파이프 UI,0.5719,N/A,6.714
easyOCR_testimg\img_003_16px.png,clahe,0.5,1.0,0.1,greedy,[[어파이프,0.342,N/A,2.367
easyOCR_testimg\img_003_16px.png,clahe,0.5,1.0,0.1,beamsearch,[[어파이프,0.342,N/A,2.206
easyOCR_testimg\img_003_16px.png,clahe,0.5,1.0,0.3,greedy,[[어파이프,0.342,N/A,2.323
easyOCR_testimg\img_003_16px.png,clahe,0.5,1.0,0.3,beamsearch,[[어파이프,0.342,N/A,2.244
easyOCR_testimg\img_003_16px.png,clahe,0.5,1.8,0.1,greedy, II [I어파이프 _ UI,0.3122,N/A,7.289
easyOCR_testimg\img_003_16px.png,clahe,0.5,1.8,0.1,beamsearch, II [I어파이프 _ UI,0.3122,N/A,7.188
easyOCR_testimg\img_003_16px.png,clahe,0.5,1.8,0.3,greedy, II [I어파이프 _ UI,0.3122,N/A,7.176
